Date, Close/Last, Volume, Open, High, Low
11/27/2019,1312.99,996329,1315.00,1318.36,1309.63
11/26/2019,1313.55,1069795,1309.86,1314.80,1305.09
11/25/2019,1306.69,1036487,1299.18,1311.31,1298.13
11/22/2019,1295.34,1386506,1305.62,1308.73,1291.41
11/21/2019,1301.35,995499,1301.48,1312.59,1293.00
11/20/2019,1303.05,1309835,1311.74,1315.00,1291.15
11/19/2019,1315.46,1269372,1327.70,1327.70,1312.80
11/18/2019,1320.70,1488083,1332.22,1335.53,1317.50
11/15/2019,1334.87,1782955,1318.94,1334.88,1314.28
11/14/2019,1311.46,1194305,1297.50,1317.00,1295.65
11/13/2019,1298.00,853861,1294.07,1304.30,1293.51
11/12/2019,1298.80,1085859,1300.00,1310.00,1295.77
11/11/2019,1299.19,1012429,1303.18,1306.43,1297.41
11/8/2019,1311.37,1251916,1305.28,1318.00,1304.37
11/7/2019,1308.86,2029970,1294.28,1323.74,1294.25
11/6/2019,1291.80,1152977,1289.46,1293.73,1282.50
11/5/2019,1292.03,1282711,1292.89,1298.93,1291.23
11/4/2019,1291.37,1500964,1276.45,1294.13,1276.36
11/1/2019,1273.74,1670072,1265.00,1274.62,1260.50
10/31/2019,1260.11,1455651,1261.28,1267.67,1250.84
10/30/2019,1261.29,1408851,1252.97,1269.36,1252.00
10/29/2019,1262.62,1886380,1276.23,1281.59,1257.21
10/28/2019,1290.00,2613237,1275.45,1299.31,1272.54
10/25/2019,1265.13,1213051,1251.03,1269.60,1250.01
10/24/2019,1260.99,1039868,1260.90,1264.00,1253.72
10/23/2019,1259.13,928595,1242.36,1259.89,1242.36
10/22/2019,1242.80,1047851,1247.85,1250.60,1241.38
10/21/2019,1246.15,1038042,1252.26,1254.63,1240.60
10/18/2019,1245.49,1352839,1253.46,1258.89,1241.08
10/17/2019,1253.07,980510,1250.93,1263.33,1249.94
10/16/2019,1243.64,1168174,1241.17,1254.74,1238.45
10/15/2019,1243.01,1395259,1220.40,1247.33,1220.40
10/14/2019,1217.14,882039,1212.34,1226.33,1211.76
10/11/2019,1215.45,1277144,1222.21,1228.39,1213.74
10/10/2019,1208.67,932531,1198.58,1215.00,1197.34
10/9/2019,1202.31,876632,1199.35,1208.35,1197.63
10/8/2019,1189.13,1141784,1197.59,1206.08,1189.01
10/7/2019,1207.68,867149,1204.40,1218.20,1203.75
10/4/2019,1209.00,1183264,1191.89,1211.44,1189.17
10/3/2019,1187.83,1663656,1180.00,1189.06,1162.43
10/2/2019,1176.63,1639237,1196.98,1196.99,1171.29
10/1/2019,1205.10,1358279,1219.00,1231.23,1203.58
9/30/2019,1219.00,1419676,1220.97,1226.00,1212.30
9/27/2019,1225.09,1354432,1243.01,1244.02,1214.45
9/26/2019,1241.39,1561882,1241.96,1245.00,1232.27
9/25/2019,1246.52,1593875,1215.82,1248.30,1210.09
9/24/2019,1218.76,1591786,1240.00,1246.74,1210.68
9/23/2019,1234.03,1075253,1226.00,1239.09,1224.17
9/20/2019,1229.93,2337269,1233.12,1243.32,1223.08
9/19/2019,1238.71,1000155,1232.06,1244.44,1232.02
9/18/2019,1232.41,1144333,1227.51,1235.61,1216.53
9/17/2019,1229.15,958112,1230.40,1235.00,1223.69
9/16/2019,1231.30,1053299,1229.52,1239.56,1225.61
9/13/2019,1239.56,1301350,1231.35,1240.88,1227.01
9/12/2019,1234.25,1725908,1224.30,1241.86,1223.02
9/11/2019,1220.17,1307033,1203.41,1222.60,1202.20
9/10/2019,1206.00,1260115,1195.15,1210.00,1194.58
9/9/2019,1204.41,1471880,1204.00,1220.00,1192.62
9/6/2019,1204.93,1072143,1208.13,1212.02,1202.52
9/5/2019,1211.38,1408601,1191.53,1213.04,1191.53
9/4/2019,1181.41,1068968,1176.71,1183.48,1171.00
9/3/2019,1168.39,1480420,1177.03,1186.89,1163.20
8/30/2019,1188.10,1129959,1198.50,1198.50,1183.80
8/29/2019,1192.85,1088858,1181.12,1196.06,1181.12
8/28/2019,1171.02,802243,1161.71,1176.42,1157.30
8/27/2019,1167.84,1077452,1180.53,1182.40,1161.45
8/26/2019,1168.89,1226441,1157.26,1169.47,1152.96
8/23/2019,1151.29,1688271,1181.99,1194.08,1147.75
8/22/2019,1189.53,947906,1194.07,1198.01,1178.58
8/21/2019,1191.25,741053,1193.15,1199.00,1187.43
8/20/2019,1182.69,915605,1195.25,1196.06,1182.11
8/19/2019,1198.45,1232517,1190.09,1206.99,1190.09
8/16/2019,1177.60,1349436,1179.55,1182.72,1171.81
8/15/2019,1167.26,1224739,1163.50,1175.84,1162.11
8/14/2019,1164.29,1578668,1176.31,1182.30,1160.54
8/13/2019,1197.27,1318009,1171.46,1204.78,1171.46
8/12/2019,1174.71,1003187,1179.21,1184.96,1167.67
8/9/2019,1188.01,1065658,1197.99,1203.88,1183.60
8/8/2019,1204.80,1467997,1182.83,1205.01,1173.02
8/7/2019,1173.99,1444324,1156.00,1178.45,1149.62
8/6/2019,1169.95,1709374,1163.31,1179.96,1160.00
8/5/2019,1152.32,2597455,1170.04,1175.24,1140.14
8/2/2019,1193.99,1645067,1200.74,1206.90,1188.94
8/1/2019,1209.01,1698510,1214.03,1234.11,1205.72
7/31/2019,1216.68,1725454,1223.00,1234.00,1207.76
7/30/2019,1225.14,1453263,1225.41,1234.87,1223.30
7/29/2019,1239.41,2223731,1241.05,1247.37,1228.23
7/26/2019,1250.41,4805752,1224.04,1265.55,1224.00
7/25/2019,1132.12,2209823,1137.82,1141.70,1120.92
7/24/2019,1137.81,1590101,1131.90,1144.00,1126.99
7/23/2019,1146.21,1093688,1144.00,1146.90,1131.80
7/22/2019,1138.07,1301846,1133.45,1139.25,1124.24
